Time (sec.), Cycles, "bFlag"
0.874051306, 62931694, 1.000000000
0.875051333, 63003696, 0.000000000
0.876051375, 63075699, 1.000000000
0.877051403, 63147701, 0.000000000
0.878051444, 63219704, 1.000000000
0.879051472, 63291706, 0.000000000
0.880051514, 63363709, 1.000000000
0.881051542, 63435711, 0.000000000
0.882051583, 63507714, 1.000000000
0.883051611, 63579716, 0.000000000
0.884051653, 63651719, 1.000000000
0.885051681, 63723721, 0.000000000
0.886051722, 63795724, 1.000000000
0.887051750, 63867726, 0.000000000
0.888051792, 63939729, 1.000000000
0.889051819, 64011731, 0.000000000
0.890051861, 64083734, 1.000000000
0.891051889, 64155736, 0.000000000
0.892051931, 64227739, 1.000000000
0.893051958, 64299741, 0.000000000
0.894052000, 64371744, 1.000000000
0.895052028, 64443746, 0.000000000
0.896052069, 64515749, 1.000000000
0.897052097, 64587751, 0.000000000
0.898052139, 64659754, 1.000000000
0.899052167, 64731756, 0.000000000
0.900052208, 64803759, 1.000000000
0.901052236, 64875761, 0.000000000
0.902052278, 64947764, 1.000000000
0.903052306, 65019766, 0.000000000
0.904052347, 65091769, 1.000000000
0.905052375, 65163771, 0.000000000
0.906052417, 65235774, 1.000000000
0.907052444, 65307776, 0.000000000
0.908052486, 65379779, 1.000000000
0.909052514, 65451781, 0.000000000
0.910052556, 65523784, 1.000000000
0.911052583, 65595786, 0.000000000
0.912052625, 65667789, 1.000000000
0.913052653, 65739791, 0.000000000
0.914052694, 65811794, 1.000000000
0.915052722, 65883796, 0.000000000
0.916052764, 65955799, 1.000000000
0.917052792, 66027801, 0.000000000
0.918052833, 66099804, 1.000000000
0.919052861, 66171806, 0.000000000
0.920052903, 66243809, 1.000000000
0.921052931, 66315811, 0.000000000
0.922052972, 66387814, 1.000000000
0.923053000, 66459816, 0.000000000
0.924053042, 66531819, 1.000000000
0.925053069, 66603821, 0.000000000
0.926053111, 66675824, 1.000000000
0.927053139, 66747826, 0.000000000
0.928053181, 66819829, 1.000000000
0.929053208, 66891831, 0.000000000
0.930053250, 66963834, 1.000000000
0.931053278, 67035836, 0.000000000
0.932053319, 67107839, 1.000000000
0.933053347, 67179841, 0.000000000
0.934053389, 67251844, 1.000000000
0.935053417, 67323846, 0.000000000
0.936053458, 67395849, 1.000000000
0.937053486, 67467851, 0.000000000
0.938053528, 67539854, 1.000000000
0.939053556, 67611856, 0.000000000
0.940053597, 67683859, 1.000000000
0.941053625, 67755861, 0.000000000
0.942053667, 67827864, 1.000000000
0.943053694, 67899866, 0.000000000
0.944053736, 67971869, 1.000000000
0.945053764, 68043871, 0.000000000
0.946053806, 68115874, 1.000000000
0.947053833, 68187876, 0.000000000
0.948053875, 68259879, 1.000000000
0.949053903, 68331881, 0.000000000
0.950053944, 68403884, 1.000000000
0.951053972, 68475886, 0.000000000
0.952054014, 68547889, 1.000000000
0.953054042, 68619891, 0.000000000
0.954054083, 68691894, 1.000000000
0.955054111, 68763896, 0.000000000
0.956054153, 68835899, 1.000000000
0.957054181, 68907901, 0.000000000
0.958054222, 68979904, 1.000000000
0.959054250, 69051906, 0.000000000
0.960054292, 69123909, 1.000000000
0.961054319, 69195911, 0.000000000
0.962054361, 69267914, 1.000000000
0.963054389, 69339916, 0.000000000
0.964054431, 69411919, 1.000000000
0.965054458, 69483921, 0.000000000
0.966054500, 69555924, 1.000000000
